id,title,rating,votes,genre_ids,language,release_date,runtime,budget,revenue,popularity,overview,number_of_seasons,number_of_episodes,production_countries,networks,creators,main_actors,source_category,type
7225,Merlin,7.817,1019,"[10759, 18, 10765]",en,2008-09-20,43.0,,,59.7413,"The unlikely friendship between Merlin, a young man gifted with extraordinary magical powers, and Prince Arthur, heir to the crown of Camelot.",5,65.0,['United Kingdom'],['BBC One'],"['Jake Michie', 'Johnny Capps', 'Julian Murphy', 'Julian Jones']","['Colin Morgan', 'Angel Coulby', 'Bradley James', 'Katie McGrath', 'Richard Wilson']",vote_count.desc_2008,tv
433,Terminator: The Sarah Connor Chronicles,7.516,917,"[10765, 18, 10759]",en,2008-01-13,,,,30.6819,"The series picks up four years after the events of Terminator 2: Judgment Day with John and Sarah Connor trying to stay under-the-radar from the government, as they plot to destroy the computer network, Skynet, in hopes of preventing Armageddon.",2,31.0,['United States of America'],['FOX'],['Josh Friedman'],"['Lena Headey', 'Thomas Dekker', 'Summer Glau', 'Richard T. Jones', 'Shirley Manson']",vote_count.desc_2008,tv
5522,Doña Bárbara,7.746,722,"[18, 35, 10766]",es,2008-08-04,60.0,,,26.8079,"Doña Bárbara is a Spanish-language telenovela produced by the United States-based television network Telemundo, Sony Pictures Television International and RTI Colombia. Edith González and Christian Meier star in this adaptation of the 1929 novel by Venezuelan author Rómulo Gallegos.",1,190.0,['United States of America'],['Telemundo'],"['Mauricio Cruz', 'Agustín Restrepo']","['Genesis Rodriguez', 'Edith González', 'Christian Meier', 'Katie Barberi', 'Arap Bethke']",vote_count.desc_2008,tv
15655,Knight Rider,7.465,634,"[18, 10759, 80]",en,2008-09-24,,,,17.1161,"On the heels of NBC's hit movie, the iconic 1980s television classic  comes roaring back to life as a reinvented, updated and super-charged  action series showcasing the new KITT (Knight Industries Three  Thousand). Absolutely the coolest car ever created, KITT is equipped  with an ""AI"" (artificial ",1,17.0,['United States of America'],['NBC'],['Glen A. Larson'],"['Justin Bruening', 'Deanna Russo', 'Bruce Davison', 'Sydney Tamiia Poitier', 'Yancey Arias']",vote_count.desc_2008,tv
42916,Toradora!,8.2,599,"[16, 35, 18]",ja,2008-10-02,23.0,,,41.1985,"Ryūji Takasu is a gentle high school student with a love for housework; but in contrast to his kind nature, he has an intimidating face that often gets him labeled as a delinquent. On the other hand is Taiga Aisaka, a small, doll-like student who is anything but a cute and fragile girl. Equipped wit",1,25.0,['Japan'],"['TV Tokyo', 'TV Osaka']",[],"['Rie Kugimiya', 'Junji Majima', 'Yui Horie', 'Eri Kitamura', 'Hirofumi Nojima']",vote_count.desc_2008,tv
7458,The Cartel,7.557,584,"[10759, 18]",es,2008-06-04,45.0,,,30.6092,"The Cartel follows ten friends, all of them members of a dangerous drug cartel, whose ambition for power and money will cause them to eventually kill each other. For it is an undeniable truth that, in this business, you always lose.",2,107.0,['Colombia'],['Caracol TV'],['Andrés López López'],"['Juan Pablo Raba', 'Diego Cadavid', 'Sandra Reyes', 'Sergio Borrero']",vote_count.desc_2008,tv
5739,Dr. Horrible's Sing-Along Blog,7.61,532,"[35, 18, 10765]",en,2008-07-15,14.0,,,19.3543,"Aspiring super-villain Dr. Horrible wants to join the Evil League of Evil and win the girl of his dreams, but his nemesis, Captain Hammer, stops him at every turn.",1,3.0,['United States of America'],['Hulu'],"['Joss Whedon', 'Zack Whedon', 'Maurissa Tancharoen', 'Jed Whedon']","['Neil Patrick Harris', 'Nathan Fillion', 'Felicia Day', 'Simon Helberg']",vote_count.desc_2008,tv
15079,The Suite Life on Deck,7.8,504,"[35, 10751, 10762]",en,2008-09-26,23.0,,,46.4243,"Zack and Cody Martin are aboard the SS Tipton, a luxury passenger cruise liner owned by London's father. The ship cruises the world with tourists and students who attend classes at Seven Seas High, the one high school that London's dad thinks will make his daughter a better student. While out at sea",3,73.0,['United States of America'],['Disney Channel'],"['Danny Kallis', 'Jim Geoghan', 'Pamela Eells']","['Dylan Sprouse', 'Cole Sprouse', 'Debby Ryan', 'Brenda Song', 'Phill Lewis']",vote_count.desc_2008,tv
5459,Don't Mess with an Angel,7.5,477,"[18, 10766]",es,2008-06-09,60.0,,,24.2287,"Cuidado Con El Ángel is a Telenovela distributed by Televisa starring Maite Perroni and William Levy. The telenovela, a production of Nathalie Lartilleux, premiered on June 9, 2008 and finished its broadcast March 6, 2009. It had millions of viewers worldwide, and broke records in America.",1,194.0,['Mexico'],"['Univision', 'Las Estrellas']",['Delia Fiallo'],"['Maite Perroni', 'William Levy', 'Helena Rojo', 'Ana Patricia Rojo', 'Laura Zapata']",vote_count.desc_2008,tv
7317,The Inbetweeners,7.6,455,[35],en,2008-05-01,25.0,,,27.1793,"Those who remember the awkward years of adolescence can relive those painful days in this British comedy series, where the cringe-inducing humor arises from the ill-fated antics of its four protagonists. Suburban teenage friends Will, Simon, Jay and Neil, students at Rudge Park Comprehensive, attemp",3,18.0,[],['E4'],"['Damon Beesley', 'Iain Morris']","['James Buckley', 'Simon Bird', 'Emily Head', 'Joe Thomas', 'Blake Harrison']",vote_count.desc_2008,tv
