title,rating,votes,genre_ids,language,release_date,runtime,budget,revenue,number_of_seasons,number_of_episodes
The Big Bang Theory,7.909,11788,[35],en,2007-09-24,22.0,,,12,279
The Dr. Oz Show,5.179,14,[10767],en,2009-09-14,60.0,,,11,636
Fights Break Sphere,8.289,45,"[16, 10759, 10765]",zh,2017-01-07,25.0,,,5,240
The Equalizer,7.4,294,"[80, 18]",en,2021-02-07,,,,5,74
Heart of Gold,0.0,0,"[18, 80]",pt,2015-09-07,,,,1,326
Cow and Chicken,7.093,473,"[16, 35, 10762]",en,1997-09-16,6.0,,,4,156
Meet Mr. McNutley,7.0,1,[35],en,1953-09-17,,,,2,76
Star Wars: The Clone Wars,8.46,2151,"[10759, 10765, 16]",en,2008-10-03,25.0,,,7,133
The Jack Benny Program,7.813,16,[35],en,1950-10-28,30.0,,,15,261
Uncle Grandpa,4.466,104,"[35, 16, 10765, 10751]",en,2013-09-02,11.0,,,5,153
Acacias 38,5.6,13,[18],es,2015-04-15,60.0,,,7,992
30 for 30,7.357,42,[99],en,2009-10-06,60.0,,,4,134
O mnie się nie martw,7.3,3,"[35, 18]",pl,2014-09-05,45.0,,,13,169
Sofia the First,7.181,530,"[10751, 16, 10762]",en,2013-01-11,23.0,,,4,113
The Bold and the Beautiful,5.5,138,"[10766, 18]",en,1987-03-23,,,,39,8527
Danger Bay,7.143,7,[18],en,1985-10-07,30.0,,,6,123
Dennis the Menace,6.5,31,"[35, 10751]",en,1959-10-04,30.0,,,4,146
ZDF-Fernsehgarten,1.5,4,[10767],de,1986-06-29,,,,39,621
Baby Looney Tunes,7.066,296,"[16, 35, 10762]",en,2002-09-07,12.0,,,2,102
Secret Lives,4.5,17,"[10766, 18]",fi,1999-01-25,21.0,,,28,4787
Charles in Charge,6.115,65,[35],en,1984-10-03,30.0,,,5,126
Heartland,8.276,564,"[10751, 18, 35]",en,2007-10-14,45.0,,,18,269
24,7.791,1611,"[10759, 18, 80]",en,2001-11-06,45.0,,,9,204
Vicki!,5.0,1,[10767],en,1992-08-31,60.0,,,2,374
Solo Leveling,8.624,1223,"[16, 10759, 10765]",ja,2024-01-07,24.0,,,1,25
Combat!,7.6,104,"[10768, 18]",en,1962-10-02,60.0,,,5,152
Güldür Güldür Show,8.0,2,"[10764, 35, 10767]",tr,2013-02-27,105.0,,,13,423
The Heiress,5.6,5,"[18, 10766, 10751]",tl,2018-10-08,,,,2,386
Law & Order: Organized Crime,7.887,266,"[80, 18]",en,2021-04-01,42.0,,,5,75
Assassination Classroom,8.41,1110,"[16, 35, 10759, 10765]",ja,2015-01-10,24.0,,,2,47
The High Fructose Adventures of Annoying Orange,6.175,40,[10759],en,2012-05-28,30.0,,,2,60
El hormiguero,4.8,37,"[35, 10767]",es,2006-09-24,50.0,,,19,1329
The Iron Heart,7.6,50,"[10759, 18]",tl,2022-11-14,30.0,,,2,238
Blade,7.15,90,"[16, 10759, 10765]",ja,2011-07-01,25.0,,,1,12
Folktales from Japan,8.5,2,"[16, 18, 18]",ja,2012-04-01,24.0,,,6,346
Who's the Murderer,8.2,13,"[80, 9648, 10764]",zh,2016-03-27,75.0,,,10,265
Whose Line Is It Anyway?,7.698,91,"[10764, 35]",en,2013-07-16,22.0,,,13,212
The Good Place,7.965,1744,"[10765, 35]",en,2016-09-19,22.0,,,4,50
Modern Family,7.9,2986,[35],en,2009-09-23,25.0,,,11,250
Barwy szczęścia,4.8,4,[10766],pl,2007-09-27,25.0,,,15,2164
Homicide Hunter: Lt Joe Kenda,8.9,46,"[99, 80]",en,2011-10-25,43.0,,,9,142
Father Knows Best,6.5,23,"[35, 10751]",en,1954-10-03,30.0,,,6,203
Barbara Karlich – Talk um 4,2.7,3,[10767],de,1999-10-27,60.0,,,26,4783
BoJack Horseman,8.546,2568,"[16, 35, 18]",en,2014-08-22,,,,6,76
You,8.042,3539,[80],en,2018-09-09,50.0,,,5,50
Doom Patrol,7.5,1377,"[10765, 18]",en,2019-02-15,49.0,,,4,46
Echappées Belles,7.8,2,[99],fr,2006-09-30,90.0,,,19,658
Better Call Saul,8.693,5691,"[80, 18]",en,2015-02-08,,,,6,63
Marvel's Jessica Jones,7.489,2410,"[10765, 18]",en,2015-11-20,52.0,,,3,39
Dick Powell's Zane Grey Theatre,5.5,8,"[37, 18]",en,1956-10-05,25.0,,,5,147
Arrow,6.825,6084,"[80, 18, 10759]",en,2012-10-10,,,,8,170
"Silence, on joue!",3.0,4,"[10764, 35]",fr,2015-09-07,25.0,,,8,1075
Blindspot,7.381,2475,"[80, 18, 10759]",en,2015-09-21,43.0,,,5,100
The Waterfront,7.4,21,"[18, 80]",en,2025-06-19,,,,1,8
Louco Amor,0.0,0,"[10766, 18, 35]",pt,2012-05-06,,,,1,282
Cuéntame cómo pasó,7.2,55,"[35, 18]",es,2001-09-13,70.0,,,23,417
Doctors,4.8,42,"[10766, 18]",en,2000-03-27,30.0,,,24,3805
Weekly Idol,6.643,7,[10767],ko,2011-07-23,60.0,,,4,638
Robot Chicken,7.633,510,"[35, 16]",en,2005-02-20,12.0,,,11,218
MythBusters,7.8,567,[99],en,2003-01-23,43.0,,,16,272
That '70s Show,7.941,1476,"[35, 10751, 18]",en,1998-08-23,25.0,,,8,200
America Says,4.4,15,"[10751, 10764]",en,2018-06-18,25.0,,,6,495
Ajooni,8.0,1,"[18, 10766]",hi,2022-07-26,,,,1,316
The Fosters,7.55,313,[18],en,2013-06-03,42.0,,,5,104
Por Estas Calles,0.0,0,[18],es,1992-06-03,,,,1,591
Les Rendez-vous du dimanche,6.0,1,[10767],fr,1975-01-12,,,,6,165
Elif,5.7,10,"[18, 10751, 10766]",tr,2014-09-15,60.0,,,5,1137
Brusko,4.5,2,"[10766, 18]",el,2013-09-29,45.0,,,4,772
Slayers,7.4,45,"[10759, 10765, 16]",ja,1995-04-07,22.0,,,5,104
T. J. Hooker,6.394,85,"[18, 80]",en,1982-03-13,60.0,,,5,91
"Doogie Howser, M.D.",6.59,105,"[18, 35]",en,1989-09-19,24.0,,,4,97
Celebrity Big Brother,4.8,43,[10764],en,2001-03-08,60.0,,,22,595
Kya Huaa Tera Vaada,0.0,0,[18],hi,2012-01-30,24.0,,,1,276
Malcolm in the Middle,8.473,4539,[35],en,2000-01-09,22.0,,,7,151
Finding Your Roots,6.2,12,[99],en,2012-03-24,60.0,,,11,116
Pavitra Rishta,6.3,6,[18],hi,2009-07-01,24.0,,,1,601
Arthur,7.006,166,"[16, 35, 10762, 10751]",en,1996-10-07,13.0,,,25,493
Ginny & Georgia,8.073,1658,"[35, 18]",en,2021-02-24,,,,3,30
Adaalat,7.5,2,"[18, 80, 9648]",hi,2010-11-20,45.0,,,2,457
The Nanny,8.065,1200,"[35, 10751]",en,1993-11-03,24.0,,,6,145
WWE Main Event,7.86,57,"[10759, 18, 10764]",en,2012-10-03,60.0,,,14,661
Voyage to the Bottom of the Sea,7.8,122,"[10759, 18, 10765]",en,1964-09-14,50.0,,,4,110
Cobra Kai,8.2,6625,"[10759, 18, 35]",en,2018-05-02,,,,6,65
Would I Lie to You?,7.698,116,[35],en,2007-06-16,30.0,,,18,172
The Mindy Project,6.202,166,[35],en,2012-09-25,22.0,,,6,117
Animaniacs,8.44,576,"[16, 35]",en,2020-11-20,12.0,,,3,123
Mula Sa Puso,6.0,1,"[18, 80]",tl,1997-03-10,30.0,,,1,538
Infrarouge,5.5,4,[99],fr,2006-02-02,,,,19,526
TNA iMPACT!,7.2,61,"[10759, 18, 9648]",en,2004-06-04,85.0,,,22,1120
Secret Story,1.4,3,[10764],fr,2007-06-23,81.0,,,13,1078
GOOD BOY,8.639,36,"[80, 35, 10759, 18]",ko,2025-05-31,,,,1,16
Gotham,7.6,3502,"[18, 80, 10765]",en,2014-09-22,43.0,,,5,100
The Handmaid's Tale,8.172,2951,"[18, 10765]",en,2017-04-26,,,,6,66
It's Christopher Lowell,0.0,0,[],en,1999-09-06,60.0,,,5,287
Aladdin,6.945,346,"[10759, 16, 35, 10765, 10762]",en,1994-02-06,22.0,,,3,86
The Real Adventures of Jonny Quest,7.2,43,"[10759, 16]",en,1996-08-26,22.0,,,2,52
Frasier,7.674,804,"[35, 10751]",en,1993-09-16,24.0,,,11,264
Palmashow - Very Bad Blagues,8.4,8,[],fr,2011-03-21,,,,2,201
"Gute Zeiten, schlechte Zeiten",5.8,41,"[18, 10766]",de,1992-05-11,23.0,,,34,8304
Psych,7.873,864,"[35, 18, 9648, 80]",en,2006-07-07,43.0,,,8,120
The Goldbergs,7.493,341,"[10751, 35]",en,2013-09-24,22.0,,,10,229
都市男女,10.0,1,[35],zh,2003-01-01,27.0,,,1,365
Mr. Men and Little Miss,0.0,0,"[10762, 16]",en,1974-12-31,10.0,,,3,132
Who The (Bleep) Did I Marry?,6.4,9,"[80, 99]",en,2010-08-25,42.0,,,9,123
RuPaul's Drag Race,7.552,252,[10764],en,2009-02-02,,,,18,239
Sai de Baixo,8.136,21,[35],pt,1996-03-31,,,,8,245
Daniela's Diary,7.4,67,"[18, 35]",es,1998-11-30,44.0,,,1,100
"Dr. Quinn, Medicine Woman",7.614,444,"[37, 18]",en,1993-01-01,47.0,,,6,149
Spidey and His Amazing Friends,7.265,234,"[10762, 16, 35]",en,2021-08-06,12.0,,,4,180
Hell's Kitchen,6.8,292,[10764],en,2005-05-30,44.0,,,23,362
Fairy Tail,7.9,976,"[16, 10759, 35, 9648, 10765]",ja,2009-10-12,25.0,,,8,328
Rederiet,7.8,10,[18],sv,1992-08-20,45.0,,,20,318
Tales of Wells Fargo,6.3,11,"[37, 18]",en,1957-03-18,30.0,,,6,201
Castle,7.985,1948,"[18, 80]",en,2009-03-09,45.0,,,8,173
Ishq Subhan Allah,2.0,1,"[18, 10766, 10751]",hi,2018-03-14,22.0,,,1,588
God Eater,7.3,139,"[16, 10765]",ja,2015-07-12,24.0,,,1,13
The Reichen Show,4.8,5,[10767],en,2005-11-11,60.0,,,1,96
Fast Talk with Boy Abunda,9.5,2,[10764],tl,2023-01-23,20.0,,,1,393
Petits secrets entre voisins,7.0,1,[18],fr,2013-05-28,,,,6,405
Agatha Christie's Poirot,8.156,500,"[80, 18, 9648]",en,1989-01-08,50.0,,,13,70
Wild Heart,7.0,7,[18],es,2009-10-12,44.0,,,1,135
Young Justice,8.387,1141,"[16, 10765, 10759]",en,2010-11-26,22.0,,,4,98
Royal Pains,6.7,149,"[35, 18]",en,2009-06-04,42.0,,,8,104
Doctor Who,7.859,656,"[18, 10759, 10765]",en,1963-11-23,25.0,,,26,694
Madagascar: A Little Wild,7.025,258,"[16, 10762]",en,2020-09-07,23.0,,,8,51
The Summer I Turned Pretty,8.2,791,[18],en,2022-06-16,,,,3,26
Water Rats,6.6,8,"[80, 18]",en,1996-02-12,60.0,,,6,177
The Lincoln Lawyer,7.694,369,"[18, 80]",en,2022-05-13,,,,3,30
Water Mirror,0.0,0,[18],pt,2017-05-01,,,,1,327
Cloudy with a Chance of Meatballs,5.6,16,"[16, 10762, 35, 10759]",en,2017-02-20,15.0,,,2,103
Lost in Oz,6.5,16,"[16, 10751, 10765, 10762, 35]",en,2015-06-26,24.0,,,1,26
Des squelettes dans le placard,0.0,0,[],fr,2006-05-01,30.0,,,14,1094
Whichever Way the Ball Bounces,10.0,2,"[35, 18]",hr,2014-09-15,60.0,,,2,350
Toriko,7.1,26,"[16, 10765, 35, 10759]",ja,2011-04-03,25.0,,,3,147
The Texan,5.5,4,[37],en,1958-09-29,30.0,,,2,78
Shakugan no Shana,7.4,96,"[10759, 16, 18, 10765, 35]",ja,2005-10-06,25.0,,,3,72
Úsměvy,7.0,1,[],cs,1996-01-01,,,,2,456
Johnny Bravo,7.3,586,"[16, 35, 10751]",en,1997-07-07,,,,4,181
Crackerjack,5.0,3,"[35, 10751]",en,1955-09-14,40.0,,,29,453
K.C. Undercover,7.8,182,"[10762, 35, 10751, 18]",en,2015-01-18,25.0,,,3,75
The Flight Attendant,7.2,570,"[18, 9648, 35]",en,2020-11-26,,,,2,16
9-1-1,8.218,2629,"[18, 80, 10759]",en,2018-01-03,43.0,,,9,125
Undressed,7.5,11,"[18, 35]",en,1999-07-26,30.0,,,6,223
"Location, Location, Location",6.0,5,[10764],en,2000-05-17,46.0,,,43,365
University Challenge,6.0,11,"[10767, 10751]",en,1962-09-21,,,,54,2005
Fresh Off the Boat,7.2,266,[35],en,2015-02-04,,,,6,116
The Only Way Is Essex,4.2,21,[10764],en,2010-10-10,60.0,,,34,408
Charlie's Angels,6.7,211,[10759],en,1976-09-22,50.0,,,5,115
SOKO Leipzig,6.188,16,"[80, 18]",de,2001-01-31,,,,25,494
The Flintstones,7.423,924,"[10751, 16, 35, 10762]",en,1960-09-30,25.0,,,6,166
Scandal,7.1,562,[18],en,2012-04-05,43.0,,,7,124
Aladdin - Naam Toh Suna Hoga,7.0,2,"[35, 18, 10765]",hi,2018-08-21,23.0,,,3,572
"Yo soy Betty, la fea",8.345,3446,"[10766, 35, 18]",es,1999-10-25,39.0,,,1,335
Cuarto milenio,7.5,49,"[10764, 9648]",es,2005-11-13,120.0,,,20,829
The Wild Wild West,7.5,74,"[10759, 35, 18, 37, 10765]",en,1965-09-17,50.0,,,4,104
American Masters,7.3,20,[99],en,1986-06-23,90.0,,,39,305
Smosh,5.8,4,[35],en,2005-11-19,,,,20,806
Reacher,8.096,2350,"[10759, 18, 80]",en,2022-02-03,,,,3,24
Tales from the Darkside,7.188,85,"[18, 10765]",en,1984-09-30,20.0,,,4,89
Everybody Hates Chris,8.043,1024,[35],en,2005-09-22,22.0,,,4,88
Herzflimmern – Die Klinik am See,0.0,0,[18],de,2011-04-04,45.0,,,2,240
Motherland: Fort Salem,7.933,508,"[10765, 18, 10759]",en,2020-03-18,45.0,,,3,30
My Little Pony: Friendship Is Magic,8.151,674,"[16, 35, 10765, 10762]",en,2010-10-10,22.0,,,9,221
Arrested Development,7.929,1479,[35],en,2003-11-02,,,,5,84
Psi Factor: Chronicles of the Paranormal,6.9,33,"[10765, 18]",en,1996-09-28,44.0,,,4,88
Idol Radio,0.0,0,[],ko,2018-07-23,60.0,,,4,1063
Kate Garraway's Life Stories,5.9,9,[10767],en,2009-02-22,,,,14,102
Married to Medicine,7.9,12,"[10764, 18, 99]",en,2013-03-24,43.0,,,11,192
La Petite Histoire de France,8.3,9,"[35, 10751]",fr,2015-11-28,,,,4,930
Columbo,8.09,742,"[80, 18]",en,1971-09-15,,,,10,67
One Piece,8.721,4916,"[10759, 35, 16]",ja,1999-10-20,24.0,,,22,1135
The Rifleman,7.0,46,"[10759, 37, 10751]",en,1958-09-30,30.0,,,5,168
What Life Took From Me,7.705,1319,[18],es,2013-10-28,45.0,,,1,197
All In with Chris Hayes,5.0,5,"[10763, 10767]",en,2013-04-01,60.0,,,5,465
The Block,4.9,22,[10764],en,2003-06-01,60.0,,,20,962
Plus belle la vie,4.379,33,"[18, 35, 80]",fr,2004-08-30,24.0,,,18,4667
Dream Of Me,0.0,0,"[18, 10751, 35, 10766]",es,2010-07-20,45.0,,,1,150
Emeril Live,4.5,4,[10767],en,1997-01-01,60.0,,,12,344
This Is Us,8.2,1511,[18],en,2016-09-20,43.0,,,6,105
Comedy Big League,0.0,0,[35],ko,2011-09-17,75.0,,,4,547
Tour of Duty,8.012,166,"[10768, 18, 10759]",en,1987-09-24,60.0,,,3,58
Jamuna Dhaki,0.0,0,[18],bn,2020-07-13,22.0,,,1,675
"Biglang Sibol, Bayang Impasibol",0.0,0,"[18, 35]",tl,2001-03-12,30.0,,,1,228
El Chavo: The Animated Series,7.631,512,"[16, 35, 10762, 10751]",es,2006-10-21,23.0,,,7,136
Viva Piñata,6.286,7,"[16, 10762]",en,2006-08-26,30.0,,,2,104
30 millions d'amis,5.8,2,[99],fr,1976-01-06,,,,18,272
Run for Your Life,7.2,6,[18],en,1965-09-13,60.0,,,3,86
The Saturday Show,1.0,1,[10762],en,2001-09-22,180.0,,,4,149
Joseph & Lindsey,10.0,1,"[16, 18, 35]",en,2020-03-24,4.0,,,62,684
Soonpoong Clinic,9.0,5,"[10751, 35]",ko,1998-03-02,,,,1,682
Shortland Street,5.3,15,"[10766, 18]",en,1992-05-25,30.0,,,34,7892
Elvira's Movie Macabre,6.95,10,"[35, 18]",en,1981-09-26,120.0,,,5,140
Amazing Stories,7.4,204,"[10765, 18, 35, 10751, 9648, 80]",en,1985-09-29,,,,2,45
Little House on the Prairie,7.942,915,"[37, 18, 10751]",en,1974-09-11,,,,9,204
Rizzoli & Isles,7.904,437,"[80, 18, 9648]",en,2010-07-12,43.0,,,7,105
Second chance,7.581,487,"[35, 18, 9648, 10765]",es,2005-06-07,60.0,,,1,157
The Outer Limits,7.765,151,[10765],en,1963-09-16,60.0,,,2,49
The South Bank Show,5.6,7,[99],en,1978-01-14,60.0,,,39,743
The Abbott and Costello Show,7.053,19,"[35, 10751]",en,1952-12-05,25.0,,,2,52
The Americans,7.864,964,"[80, 18]",en,2013-01-30,48.0,,,6,75
I Love Lucy,7.916,231,"[35, 10751]",en,1951-10-15,30.0,,,6,180
Byker Grove,5.5,11,"[10751, 18, 35]",en,1989-11-08,25.0,,,18,322
JUJUTSU KAISEN,8.58,3880,"[16, 10759, 10765]",ja,2020-10-03,24.0,,,1,47
Medium,7.461,539,"[80, 18, 9648, 10765]",en,2005-01-03,,,,7,128
Sinhá Moça,8.0,4,"[18, 10766]",pt,1986-04-28,45.0,,,1,173
FBI: Most Wanted,7.7,407,"[80, 18]",en,2020-01-07,43.0,,,6,108
Mushoku Tensei: Jobless Reincarnation,8.5,1291,"[10759, 16, 10765]",ja,2021-01-11,24.0,,,3,47
Top Gear,7.858,106,[99],en,1978-07-13,,,,45,530
The Bugs Bunny and Tweety Show,7.833,6,"[16, 35]",en,1986-09-13,60.0,,,15,261
Mr. Robot,8.251,4869,"[80, 18]",en,2015-06-24,,,,4,45
The Ghost and Molly McGee,8.0,38,"[16, 10765, 10762]",en,2021-10-01,11.0,,,2,78
The Soup,6.143,28,"[10767, 35]",en,2004-07-01,30.0,,,13,643
Marvel's Luke Cage,6.922,1865,"[18, 10765, 10759, 80]",en,2016-09-30,46.0,,,2,26
The Legend of Tarzan,6.844,93,"[10759, 16, 10762]",en,2001-09-03,22.0,,,2,39
India's Got Talent,5.7,9,[10764],hi,2009-06-27,60.0,,,10,209
UniKitty!,6.0,21,"[10762, 16, 35, 10751]",en,2017-10-28,11.0,,,3,104
The New Alfred Hitchcock Presents,7.2,52,"[18, 9648, 80]",en,1985-09-29,30.0,,,4,76
The Good Doctor,8.477,12578,[18],en,2017-09-25,,,,7,126
Porta dos Fundos,6.9,25,[35],pt,2012-08-07,3.0,,,11,1623
Tagesschau,6.761,238,[10763],de,1952-12-26,15.0,,,74,21309
Only Murders in the Building,8.466,1809,"[35, 9648, 80]",en,2021-08-31,,,,5,40
How Not to Summon a Demon Lord,7.926,316,"[10759, 35, 10765, 16]",ja,2018-07-05,24.0,,,2,22
Golden Globe Awards,7.2,17,[10767],en,1944-01-20,130.0,,,82,82
House of Anubis,8.1,268,"[10751, 9648, 10765]",en,2011-01-01,23.0,,,3,190
My Wife's Friends,6.8,3,[18],ka,2012-10-22,30.0,,,18,916
Timeshift,7.0,4,[99],en,2002-10-10,60.0,,,17,184
What Not to Wear,5.6,8,[10764],en,2003-01-18,45.0,,,12,325
"Mary Hartman, Mary Hartman",7.1,17,"[18, 10766, 35]",en,1976-01-05,30.0,,,2,325
Guten Morgen Deutschland,0.0,0,"[10763, 10767]",de,2013-08-26,,,,10,2197
Corona de lágrimas,7.394,160,[18],es,2012-09-24,45.0,,,2,222
Looney Tunes Cartoons,7.721,265,"[16, 35, 10751]",en,2020-05-27,,,,6,231
The Big Questions,6.7,3,"[10763, 10767, 10768]",en,2007-09-09,60.0,,,14,201
MasterChef Türkiye,4.6,5,[],tr,2018-09-01,120.0,,,8,782
Sydney to the Max,7.7,32,"[35, 10751]",en,2019-01-25,23.0,,,3,63
The Talk,3.4,12,[10767],en,2010-10-18,60.0,,,14,348
La rosa de Guadalupe,6.976,270,"[18, 10766]",es,2008-02-05,42.0,,,15,872
O Sexo dos Anjos,6.0,3,"[10766, 35]",pt,1989-09-25,,,,1,142
Rambo,7.117,64,"[10759, 16, 10762]",en,1986-04-14,30.0,,,1,65
Redemption,7.8,8,[18],tr,2022-11-21,60.0,,,3,526
Omnibus,6.0,2,[10767],en,1952-11-09,30.0,,,8,157
Timeless Love,7.5,292,[18],es,2010-07-05,45.0,,,1,182
The Mighty Ones,7.4,13,"[16, 35]",en,2020-11-09,23.0,,,4,80
The Proud Family: Louder and Prouder,6.05,40,"[10751, 16, 35]",en,2022-02-23,30.0,,,2,20
Watatatow,1.5,3,"[18, 35]",fr,1991-10-03,30.0,,,14,695
Lara's Choice,0.0,0,[18],hr,2011-09-04,45.0,,,2,347
Lioness,8.0,1011,"[18, 10768]",en,2023-07-23,,,,2,16
Sanjay and Craig,5.3,43,"[16, 35, 10762]",en,2013-05-25,11.0,,,3,114
The Tony Randall Show,6.25,4,[35],en,1976-09-23,30.0,,,2,44
The Suite Life of Zack & Cody,7.6,660,"[35, 10751, 10762]",en,2005-03-18,23.0,,,3,87
Beelzebub,8.291,249,"[16, 35, 18]",ja,2011-01-09,25.0,,,1,60
"Sabrina, the Teenage Witch",7.809,1143,"[35, 10751, 10765]",en,1996-09-27,22.0,,,7,163
Welcome to Wrexham,7.8,133,[99],en,2022-08-24,,,,4,49
Survivor,3.667,3,[10764],el,2003-09-18,120.0,,,9,651
Chronicles of the Sun,6.689,122,[10766],fr,2018-08-27,26.0,,,7,1643
Son de Fierro,0.0,0,"[35, 18, 10759]",es,2007-01-08,45.0,,,1,251
Comedy Central Presents,6.75,30,"[35, 10767]",en,1998-12-01,30.0,,,15,286
Koh-Lanta,7.0,12,[10764],fr,2001-08-04,85.0,,,32,420
Hey Arnold!,8.01,929,"[10751, 16, 35, 10762]",en,1996-10-07,12.0,,,5,186
Kaisa Ye Pyar Hai,1.0,1,[18],hi,2005-03-29,24.0,,,1,331
Andor,8.263,1578,"[10765, 10759, 18]",en,2022-09-21,,,,2,24
Pokemon no Uchi Atsumaru?,8.0,2,"[35, 10751]",ja,2015-10-04,30.0,,,1,332
The Game,7.718,39,"[18, 35]",en,2006-10-01,30.0,,,9,147
Andando nas Nuvens,8.25,8,"[10766, 35]",pt,1999-03-22,45.0,,,1,197
The Megan Mullally Show,4.2,5,[10767],en,2006-09-18,43.0,,,1,76
Billions,7.741,944,[18],en,2016-01-17,60.0,,,7,84
The Closer,7.9,310,"[80, 18, 9648]",en,2005-06-13,46.0,,,7,109
Neebs Gaming - Ark Survival Evolved,0.0,0,[],en,2015-06-28,,,,7,305
The Onedin Line,6.8,6,[18],en,1971-10-15,50.0,,,8,91
We Baby Bears,7.2,269,"[16, 10751, 35, 10762]",en,2022-01-01,12.0,,,2,73
Shatner's Raw Nerve,4.0,1,[10767],en,2008-12-02,30.0,,,3,39
Marvel's The Punisher,8.128,2784,"[10759, 80, 18]",en,2017-11-17,53.0,,,2,26
I Married Joan,6.0,1,[35],en,1952-10-15,30.0,,,3,98
Antiques Road Trip,5.0,8,[99],en,2010-03-08,30.0,,,22,550
Dance Moms,7.1,114,[10764],en,2011-07-13,42.0,,,8,232
Most Haunted,5.9,18,"[99, 9648, 10764]",en,2002-05-25,60.0,,,23,275
Eight Is Enough,6.0,31,"[18, 35]",en,1977-03-15,60.0,,,5,112
Today with Des and Mel,0.0,0,[],en,2004-11-17,60.0,,,5,446
TMZ Live,2.0,1,"[10763, 10767, 35]",en,2012-06-11,44.0,,,2,261
Star Trek: Strange New Worlds,8.102,609,[10765],en,2022-05-05,,,,3,30
Riverdale,8.431,13556,"[80, 18, 9648]",en,2017-01-26,45.0,,,7,137
Legend of the Seeker,7.408,306,"[10765, 10759, 18]",en,2008-11-01,42.0,,,2,44
Homicide: Life on the Street,8.1,131,"[9648, 18, 80]",en,1993-01-31,45.0,,,7,122
heute-show,6.6,18,"[35, 10763]",de,2009-09-08,35.0,,,28,519
The Cleaning Lady,7.54,187,"[80, 18]",en,2022-01-03,45.0,,,4,46
AVN Awards,5.478,23,[10764],en,1984-01-01,,,,42,42
The Man in the High Castle,7.5,1339,"[10765, 18]",en,2015-01-15,60.0,,,4,40
Hamburg Dockland,6.0,13,"[80, 18]",de,2007-01-04,43.0,,,19,482
Father Matteo,6.2,65,"[18, 35, 9648, 80, 10751]",it,2000-01-07,45.0,,,14,276
Nikenme Dou Suru? ~Tsumami no Hanashi~,0.0,0,[],ja,2017-04-09,25.0,,,7,316
Loki,8.174,11901,"[18, 10765]",en,2021-06-09,,,,2,12
Bakugan Battle Brawlers,8.304,370,"[10759, 16, 10762, 10765]",ja,2007-04-05,25.0,,,4,189
STAT,6.1,7,[18],fr,2022-09-12,21.0,,,4,356
Unwrapped,7.6,7,[99],en,2001-07-01,30.0,,,22,369
The Ultimate Fighter,6.208,48,[10764],en,2005-01-17,60.0,,,33,433
Mom,7.3,592,"[35, 18]",en,2013-09-23,23.0,,,8,170
The Atom Ant Show,7.2,189,"[16, 10762, 35]",en,1965-10-02,21.0,,,1,78
Grimm,8.265,3338,"[18, 9648, 10765]",en,2011-10-28,45.0,,,6,122
Transformers: Prime,8.042,448,"[10759, 16, 10762]",en,2010-11-26,21.0,,,3,65
The Tom and Jerry Show,7.3,96,"[10751, 16, 35, 10762]",en,2014-04-09,7.0,,,5,325
Land Rober Tunai Show,0.0,0,"[10767, 35]",gl,2015-01-21,120.0,,,9,337
Celebrity Rehab with Dr. Drew,3.7,3,[10764],en,2008-01-10,60.0,,,6,54
ZOO,7.6,5,"[10751, 35, 18]",cs,2022-01-13,,,,1,225
Dennis the Menace,6.565,245,"[10762, 16, 35]",en,1985-09-09,22.0,,,2,78
Polizeiruf 110,6.4,21,[80],de,1971-06-27,90.0,,,54,420
Télématin,4.5,1,[10763],fr,1985-01-10,135.0,,,21,373
My Kitchen Rules,5.4,19,[10764],en,2010-02-01,60.0,,,14,507
Buffy the Vampire Slayer,8.119,1832,"[10765, 35, 18, 10759]",en,1997-03-10,,,,7,144
Holby City,5.7,43,"[10766, 18]",en,1999-01-12,60.0,,,23,1102
Angelina Ballerina: The Next Steps,7.2,5,"[10751, 16, 10762]",en,2009-09-05,,,,4,50
Sana'y Wala Nang Wakas,0.0,0,[18],tl,2003-05-19,30.0,,,1,298
Gilmore Girls,7.9,1112,"[35, 18]",en,2000-10-05,44.0,,,7,153
Wednesday Downtown,7.5,2,[35],ja,2014-04-23,60.0,,,11,416
The Bold Type,7.771,188,"[18, 35]",en,2017-06-20,45.0,,,5,52
Découverte,6.3,5,"[99, 10763]",fr,1988-09-11,45.0,,,36,1702
Ulisse - Il piacere della scoperta,8.9,9,[99],it,2001-04-07,,,,24,292
The New 3 Stooges,7.636,11,"[16, 35]",en,1965-01-01,20.0,,,1,156
Star Trek: Discovery,7.049,1862,"[10765, 10759, 18]",en,2017-09-24,,,,5,65
Elite,8.025,9242,"[80, 9648, 18]",es,2018-10-05,,,,8,64
The Voronins,6.682,44,[35],ru,2009-11-16,24.0,,,24,552
The West Wing,8.3,517,[18],en,1999-09-22,45.0,,,7,154
T.G.I.S.,0.0,0,[18],tl,1995-08-12,,,,1,233
Dancing with the Stars,6.0,113,"[10751, 10764]",en,2005-06-01,90.0,,,34,500
Matilda and the Ramsay Bunch,10.0,3,[10764],en,2015-04-14,15.0,,,5,75
Bizarre Bunch,0.0,0,[18],ko,2005-09-26,35.0,,,1,170
Hangin' with Mr. Cooper,6.435,31,[35],en,1992-09-22,30.0,,,5,101
Elementary,7.6,1690,"[18, 9648, 80]",en,2012-09-27,43.0,,,7,154
