title,rating,votes,genre_ids,language,release_date,runtime,budget,revenue,number_of_seasons,number_of_episodes
Baa Bahoo Aur Baby,1.0,1,"[18, 35, 10751]",hi,2005-08-05,,,,2,558
The Equalizer,7.169,59,"[99, 10759, 80, 18]",en,1985-09-18,48.0,,,4,88
Bob the Builder,5.944,116,"[10762, 16, 10751]",en,1999-04-12,10.0,,,18,255
Pretty Little Liars,7.98,2672,"[18, 9648]",en,2010-06-08,41.0,,,7,161
Big Brother,3.5,11,[10764],de,2000-03-01,,,,15,2471
Ninja Boy Rantaro,6.4,19,"[35, 10759, 10762, 16, 10751]",ja,1993-04-10,30.0,,,27,1829
The Flying Doctors,6.333,15,[18],en,1986-05-15,50.0,,,9,221
O Beijo do Vampiro,6.1,11,"[10766, 10765, 18]",pt,2002-08-26,50.0,,,1,215
Dirty Linen,6.7,105,"[18, 9648]",tl,2023-01-23,30.0,,,3,165
D.Gray-man,8.1,151,"[10759, 16, 9648, 10765]",ja,2006-10-03,25.0,,,2,103
Wheel of Fortune,6.893,75,"[10751, 10764]",en,1983-09-19,25.0,,,42,2311
The Legend of Korra,8.216,2155,"[16, 10759, 10765]",en,2012-04-14,23.0,,,4,52
Strawberries with Sugar,5.6,18,"[18, 35, 10766]",pt,2003-08-30,55.0,,,9,2290
Shin Chan,7.8,100,"[16, 35, 10762]",ja,1992-04-13,24.0,,,1,2473
Ordinace v růžové zahradě,3.8,6,"[35, 18]",cs,2005-09-06,80.0,,,2,1387
Dorothy and the Wizard of Oz,7.0,3,"[16, 10759, 10762]",en,2017-06-26,11.0,,,3,118
The Weekly with Charlie Pickering,4.7,3,"[35, 10767]",en,2015-04-22,30.0,,,11,175
Verdades ocultas,5.0,4,"[10766, 9648, 18]",es,2017-07-24,35.0,,,7,854
Ek Mahanayak - Dr B R Ambedkar,10.0,1,"[10751, 18, 10764]",hi,2019-12-17,20.0,,,1,979
Génial!,2.9,12,"[10751, 10767]",fr,2010-09-09,23.0,,,16,688
Firing Line with Margaret Hoover,7.5,2,"[10767, 10768]",en,2018-06-22,27.0,,,8,275
