title,rating,votes,language,release_date,runtime,budget,revenue,genres,type,number_of_seasons,number_of_episodes
The Long Riders,6.67,265,en,1980-05-16,99.0,10000000.0,15795189.0,Western,movie,,
The Long Riders,6.67,265,en,1980-05-16,99.0,10000000.0,15795189.0,Action,movie,,
The Long Riders,6.67,265,en,1980-05-16,99.0,10000000.0,15795189.0,Crime,movie,,
The Long Riders,6.67,265,en,1980-05-16,99.0,10000000.0,15795189.0,Drama,movie,,
The Long Riders,6.67,265,en,1980-05-16,99.0,10000000.0,15795189.0,History,movie,,
Shogun's Ninja,6.2,20,ja,1980-11-15,117.0,0.0,0.0,Action,movie,,
Shogun's Ninja,6.2,20,ja,1980-11-15,117.0,0.0,0.0,Adventure,movie,,
Stir Crazy,6.482,450,en,1980-12-12,111.0,10000000.0,101300000.0,Comedy,movie,,
Stir Crazy,6.482,450,en,1980-12-12,111.0,10000000.0,101300000.0,Crime,movie,,
Heroes Shed No Tears,5.6,8,zh,1980-07-24,106.0,0.0,0.0,Action,movie,,
The Long Good Friday,7.133,383,en,1980-11-01,114.0,0.0,0.0,Crime,movie,,
The Long Good Friday,7.133,383,en,1980-11-01,114.0,0.0,0.0,Thriller,movie,,
The Long Good Friday,7.133,383,en,1980-11-01,114.0,0.0,0.0,Drama,movie,,
The Long Good Friday,7.133,383,en,1980-11-01,114.0,0.0,0.0,Mystery,movie,,
Moscow Does Not Believe in Tears,7.6,251,ru,1980-02-11,142.0,900000.0,2500000.0,Drama,movie,,
Moscow Does Not Believe in Tears,7.6,251,ru,1980-02-11,142.0,900000.0,2500000.0,Comedy,movie,,
Moscow Does Not Believe in Tears,7.6,251,ru,1980-02-11,142.0,900000.0,2500000.0,Romance,movie,,
The Party,6.6,1150,fr,1980-12-17,110.0,0.0,0.0,Drama,movie,,
The Party,6.6,1150,fr,1980-12-17,110.0,0.0,0.0,Romance,movie,,
The Party,6.6,1150,fr,1980-12-17,110.0,0.0,0.0,Comedy,movie,,
The Buddhist Fist,5.3,15,cn,1980-05-07,86.0,0.0,0.0,Action,movie,,
Altered States,6.718,690,en,1980-12-25,102.0,15000000.0,19853892.0,Horror,movie,,
Altered States,6.718,690,en,1980-12-25,102.0,15000000.0,19853892.0,Science Fiction,movie,,
Altered States,6.718,690,en,1980-12-25,102.0,15000000.0,19853892.0,Thriller,movie,,
Herbie Goes Bananas,5.307,233,en,1980-06-25,93.0,0.0,18000000.0,Fantasy,movie,,
Herbie Goes Bananas,5.307,233,en,1980-06-25,93.0,0.0,18000000.0,Comedy,movie,,
Herbie Goes Bananas,5.307,233,en,1980-06-25,93.0,0.0,18000000.0,Family,movie,,
Herbie Goes Bananas,5.307,233,en,1980-06-25,93.0,0.0,18000000.0,Adventure,movie,,
A Distant Cry from Spring,7.3,28,ja,1980-03-15,123.0,0.0,0.0,Drama,movie,,
Coal Miner's Daughter,7.235,262,en,1980-03-07,125.0,15000000.0,67182787.0,Music,movie,,
Coal Miner's Daughter,7.235,262,en,1980-03-07,125.0,15000000.0,67182787.0,Drama,movie,,
Cruising,6.6,569,en,1980-02-15,102.0,11000000.0,19814523.0,Crime,movie,,
Cruising,6.6,569,en,1980-02-15,102.0,11000000.0,19814523.0,Mystery,movie,,
Cruising,6.6,569,en,1980-02-15,102.0,11000000.0,19814523.0,Thriller,movie,,
Any Which Way You Can,5.759,344,en,1980-12-17,115.0,15000000.0,70687344.0,Action,movie,,
Any Which Way You Can,5.759,344,en,1980-12-17,115.0,15000000.0,70687344.0,Adventure,movie,,
Any Which Way You Can,5.759,344,en,1980-12-17,115.0,15000000.0,70687344.0,Comedy,movie,,
The Victim,7.0,21,cn,1980-02-28,100.0,0.0,0.0,Action,movie,,
The Victim,7.0,21,cn,1980-02-28,100.0,0.0,0.0,Comedy,movie,,
The Victim,7.0,21,cn,1980-02-28,100.0,0.0,0.0,Drama,movie,,
The Beast to Die,5.5,17,ja,1980-10-04,118.0,0.0,0.0,Action,movie,,
The Beast to Die,5.5,17,ja,1980-10-04,118.0,0.0,0.0,Crime,movie,,
The Beast to Die,5.5,17,ja,1980-10-04,118.0,0.0,0.0,Thriller,movie,,
Wife's Sexual Fantasy: Before Husband's Eyes,6.7,10,ja,1980-10-25,69.0,0.0,0.0,Drama,movie,,
