id,title,rating,votes,genre_ids,language,release_date,runtime,budget,revenue,popularity,overview,production_countries,production_companies,director,main_actors,source_category,type
265177,Mommy,8.23,2760,[18],fr,2014-09-19,138,4900000,3494070,2.4482,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",['Canada'],"['Metafilms', 'Sons of Manual']",Xavier Dolan,"['Anne Dorval', 'Suzanne Clément', 'Antoine Olivier Pilon', 'Patrick Huard', 'Alexandre Goyette']",vote_average.desc_2014,movie
285749,Rob Zombie: The Zombie Horror Picture Show,8.2,24,"[10402, 99]",en,2014-05-16,81,0,0,0.2304,"Rob Zombie's first concert film, The Zombie Horror Picture Show is a feature-length concert film, recorded live over two sizzling nights in Texas. It captures Zombie's elaborate, multi-media production of mind-blowing SFX, animatronic robots, pyrotechnics, oversized LED screens and state-of-the-art ",[],[],Rob Zombie,"['Ginger Fish', 'Rob Zombie', 'John 5', 'Piggy D.']",vote_average.desc_2014,movie
318645,Beyoncé: X10 - The Mrs. Carter Show World Tour,8.2,11,[10402],en,2014-06-29,0,0,0,0.2143,"Performances from Beyoncé's ""Mrs. Carter Show World Tour.""",['United States of America'],"['HBO', 'Parkwood Entertainment']",Ed Burke,['Beyoncé'],vote_average.desc_2014,movie
271505,Timeless: The Film,8.2,12,[10402],fr,2014-05-16,126,41000000,0,0.2447,"Timeless (stylized as Timel3ss) was the sixth concert tour by French recording artist, Mylène Farmer. The tour supported the singer's ninth studio album, Monkey Me. The tour began on September 7, 2013 and ended on December 3, 2013. It played 39 shows in 5 countries. Over 535,000 people saw Mylène Fa",['France'],"['Stuffed Monkey', 'Universal Music Group']",François Hanss,"['Mylène Farmer', 'Yvan Cassar', 'Gary Jules', 'Eric Chevalier', 'Bernard Gregory Suran Jr.']",vote_average.desc_2014,movie
369761,There's a Man in the Woods,8.2,29,"[16, 27, 18]",en,2014-04-21,4,0,0,0.2343,A teacher struggles to control a rumor spreading around his elementary school by one greedy child.,['United States of America'],['CalArts'],Jacob Streilein,['Michael Ho'],vote_average.desc_2014,movie
265832,Billy Crystal: 700 Sundays,8.143,14,"[35, 10770, 99]",en,2014-04-19,119,0,0,0.2044,"In 700 Sundays, legendary comedian and actor Billy Crystal tells the stories of his youth, growing up in the jazz world of Manhattan, his teenage years, and finally adulthood. The Tony Award-winning show is a funny and poignant exploration of family and fate, loving and loss.",['United States of America'],"['Jennilind Productions', 'HBO']",Des McAnuff,['Billy Crystal'],vote_average.desc_2014,movie
265297,The Salt of the Earth,8.121,630,[99],fr,2014-08-29,110,0,1059804,2.1032,"During the last forty years, the photographer Sebastião Salgado has been travelling through the continents, in the footsteps of an ever-changing humanity. He has witnessed the major events of our recent history: international conflicts, starvations and exodus… He is now embarking on the discovery of","['Italy', 'France', 'Brazil']","['Secretaria de Estado de Cultura do Espírito Santo', 'Decia Films', 'Amazonas Images']",Juliano Ribeiro Salgado,"['Sebastião Salgado', 'Wim Wenders', 'Juliano Ribeiro Salgado', 'Hugo Barbier', 'Lélia Wanick Salgado']",genre_99_2014,movie
341030,Pandas: The Journey Home,8.091,11,[99],en,2014-05-01,36,0,0,0.2132,"Filmmakers of ""Pandas: The Journey Home"" were granted unprecedented access to the Wolong Panda Center in China. Meet all of the pandas at the center as they get ready for their new lives in various parts of the world, and learn about their fascinating habits and personalities.",['United States of America'],"['Virgil Films and Entertainment', 'National Geographic', 'Oxford Scientific Films']",Nicolas Brown,['Joely Richardson'],vote_average.desc_2014,movie
292177,My Little Pony: Equestria Girls - Rainbow Rocks,8.076,185,"[10751, 16, 10402]",en,2014-09-27,75,0,360736,1.4702,"Music rules and rainbows rock as Twilight Sparkle and pals compete for the top spot in the Canterlot High ""Mane Event"" talent show. The girls must rock their way to the top, and outshine rival Adagio Dazzle and her band The Dazzlings, to restore harmony back to Canterlot High.","['Canada', 'United States of America']","['DHX Media', 'Hasbro Studios']",Jayson Thiessen,"['Tara Strong', 'Ashleigh Ball', 'Andrea Libman', 'Tabitha St. Germain', 'Cathy Weseluck']",vote_average.desc_2014,movie
280492,From What Is Before,8.1,31,[18],tl,2014-07-03,345,46000,0,0.6913,"The Philippines, 1972. Mysterious things are happening in a remote barrio. Wails are heard from the forest, cows are hacked to death, a man is found bleeding to death at the crossroad and houses are burned. Ferdinand E. Marcos announces Proclamation No. 1081 putting the entire country under Martial ",['Philippines'],['Sine Olivia Pilipinas'],Lav Diaz,"['Perry Dizon', 'Roeder Camanag', 'Hazel Orencio', 'Karenina Haniel', 'Reynan Abcede']",vote_average.desc_2014,movie
